Object,P+AF8-Cut,P+AF8-Flip,P+AF8-Hit,P+AF8-Poke,P+AF8-Rake,P+AF8-Scoop
Blue+AF8-tin.ply,0.01010941,0.06807883,0.99929297,0.08910032,0.00831677,0.9999486
Black+AF8-fork.ply,0.9614423,0.17468469,0.99897337,0.08997478,0.9745882,0.9999491
Wooden+AF8-cup.ply,0.01005303,0.05464557,0.99911183,0.11084281,0.00830533,0.9999486
Black+AF8-plate.ply,0.01088135,0.9988795,0.000000142,0.08879228,0.00938568,0.99994874
Blue+AF8-lid.ply,0.01080628,0.9819534,0.000000165,0.08890801,0.04001213,0.99994874
Green+AF8-lid.ply,0.01569991,0.99141765,0.000000139,0.08891504,0.01452752,0.99993336
Scissors.ply,0.01018098,0.05576004,0.000000417,0.09947038,0.00994952,0.99956435
Tableknife.ply,0.9618043,0.14583355,0.000000173,0.09225504,0.9745749,0.43341604
Drill+AF8-bit.ply,0.95369947,0.05277687,0.9997203,0.08969951,0.97462714,0.99991715
Bocca+AF8-marbled+AF8-pan.ply,0.01030993,0.06303868,0.0000021,0.09299894,0.00824728,0.99994886
Metal+AF8-rake.ply,0.01004872,0.05481979,0.9989945,0.12078232,0.00840778,0.999948
Green+AF8-spatula.ply,0.01039914,0.9842376,0.000000139,0.08979394,0.00844296,0.9999187
Game+AF8-card.ply,0.7012432,0.13104872,0.000000134,0.08921037,0.9724763,0.99986255
Yellow+AF8-bowl.ply,0.01024826,0.0545366,0.99952996,0.14292663,0.00828792,0.9999486
Pen.ply,0.9564858,0.0527105,0.000000134,0.10286467,0.97470236,0.11045279
Spoon.ply,0.03550164,0.05833112,0.000000237,0.09358379,0.00856773,0.9999486
Small+AF8-metal+AF8-pan.ply,0.01005561,0.05782922,0.99897206,0.12435603,0.00830562,0.99994874
Wooden+AF8-spatula.ply,0.96076053,0.9991547,0.000000135,0.09000821,0.8626561,0.7948736
Large+AF8-spork.ply,0.01844275,0.99916375,0.000000142,0.08960783,0.8496328,0.99466914
Wine+AF8-glass.ply,0.01014938,0.0657696,0.9992125,0.08895592,0.00832216,0.9999486
Green+AF8-ladle.ply,0.47958153,0.9966138,0.000000155,0.08995893,0.9726768,0.9999486
Comb.ply,0.9618002,0.9991641,0.0000009,0.09144476,0.97461945,0.9999486
Wooden+AF8-box.ply,0.01065416,0.4309608,0.02929587,0.09441156,0.01136732,0.999949
Red+AF8-bowl+AF8-round.ply,0.01010745,0.05912027,0.9990945,0.08951319,0.00843847,0.999949
Red+AF8-square+AF8-bowl.ply,0.01014334,0.06061703,0.99928206,0.08882554,0.00834644,0.9999486
Turquoise+AF8-bottle.ply,0.01582005,0.05667378,0.9952584,0.51270854,0.00945751,0.81445724
Trowel+AF8-spatula.ply,0.01054728,0.9991467,0.000000145,0.08897308,0.00824729,0.9998814
Red+AF8-mug.ply,0.01010477,0.06105145,0.9992593,0.08909731,0.00836374,0.9999486
Wooden+AF8-rake.ply,0.96184266,0.9991404,0.00000452,0.08893605,0.9922472,0.9999486
Red+AF8-rake.ply,0.02321685,0.99015546,0.9996045,0.09149358,0.02907473,0.99994874
